traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
NO PASSING,CLOUDY/OVERCAST,DARKNESS,REAR TO SIDE,TRAFFIC ROUTE,CURVE ON HILLCREST,DIRT,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,EXCEEDING SAFE SPEED FOR CONDITIONS,6,INCAPACITATING INJURY,16,0,0,3,1,24,0,3,6
YIELD,FOG/SMOKE/HAZE,LIGHTED ROAD,HEAD ON,ONE-WAY,CURVE ON HILLCREST,DRY,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",10,FATAL,9,0,4,19,11,43,14,2,3
RR CROSSING SIGN,BLOWING SAND,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,TRAFFIC ROUTE,STRAIGHT ON HILLCREST,OTHER,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISREGARDING ROAD MARKINGS,7,NO INDICATION OF INJURY,2,3,0,1,11,10,21,4,5
POLICE/FLAGMAN,SOIL,DARKNESS,OVERTURNED,RAMP,STRAIGHT ON HILLCREST,OTHER,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",CELL PHONE USE OTHER THAN TEXTING,7,NO INDICATION OF INJURY,10,3,0,1,4,41,23,4,10
STOP SIGN/FLASHER,OTHER,LIGHTED ROAD,TURNING,L-INTERSECTION,CURVE,DIRT,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",EQUIPMENT - VEHICLE CONDITION,4,NONINCAPACITATING INJURY,16,1,2,20,9,31,1,6,1
PEDESTRIAN CROSSING SIGN,CLEAR,DAYLIGHT,FIXED OBJECT,RAMP,STRAIGHT ON GRADE,ICE,UNKNOWN,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),11,NONINCAPACITATING INJURY,13,3,0,19,14,46,0,7,2
TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,ANIMAL,DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,OTHER,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DISREGARDING OTHER TRAFFIC SIGNS,6,INCAPACITATING INJURY,2,2,7,10,7,7,3,3,9
RR CROSSING SIGN,SEVERE CROSS WIND GATE,DUSK,REAR TO REAR,DRIVEWAY,STRAIGHT ON HILLCREST,WET,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",DISTRACTION - FROM OUTSIDE VEHICLE,2,NONINCAPACITATING INJURY,8,2,4,4,6,44,10,6,11
OTHER,CLEAR,DUSK,PARKED MOTOR VEHICLE,ALLEY,CURVE ON GRADE,SAND,OTHER,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",OBSTRUCTED CROSSWALKS,9,FATAL,3,1,1,9,5,31,5,7,4
BICYCLE CROSSING SIGN,BLOWING SAND,LIGHTED ROAD,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT ON GRADE,UNKNOWN,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",UNABLE TO DETERMINE,2,FATAL,14,0,2,16,3,18,14,2,1
NO PASSING,SEVERE CROSS WIND GATE,LIGHTED ROAD,ANIMAL,UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,ICE,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",BICYCLE ADVANCING LEGALLY ON RED LIGHT,10,FATAL,15,3,2,8,10,8,17,3,10
UNKNOWN,SEVERE CROSS WIND GATE,DARKNESS,SIDESWIPE OPPOSITE DIRECTION,UNKNOWN,STRAIGHT AND LEVEL,SNOW OR SLUSH,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISREGARDING STOP SIGN,2,INCAPACITATING INJURY,1,2,0,16,12,35,22,7,7
RAILROAD CROSSING GATE,SOIL,LIGHTED ROAD,HEAD ON,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SAND,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,1,NO INDICATION OF INJURY,9,3,2,14,2,33,1,2,12
OTHER,CLEAR,DARKNESS,REAR TO SIDE,Y-INTERSECTION,STRAIGHT ON HILLCREST,UNKNOWN,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,EQUIPMENT - VEHICLE CONDITION,11,"REPORTED, NOT EVIDENT",5,0,2,16,11,17,14,7,1
LANE USE MARKING,UNKNOWN,DAWN,OTHER OBJECT,T-INTERSECTION,STRAIGHT ON HILLCREST,SAND,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",BICYCLE ADVANCING LEGALLY ON RED LIGHT,9,"REPORTED, NOT EVIDENT",7,2,2,1,3,10,12,2,12
UNKNOWN,SOIL,DAWN,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,DIRT,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",EXCEEDING SAFE SPEED FOR CONDITIONS,5,NO INDICATION OF INJURY,15,3,1,3,7,36,21,1,3
PEDESTRIAN CROSSING SIGN,DIRT,DAWN,PEDALCYCLIST,CENTER TURN LANE,STRAIGHT AND LEVEL,SNOW OR SLUSH,HOLES,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",DISREGARDING OTHER TRAFFIC SIGNS,6,INCAPACITATING INJURY,0,0,0,20,4,42,9,6,10
NO PASSING,DIRT,DARKNESS,FIXED OBJECT,UNKNOWN,STRAIGHT ON GRADE,UNKNOWN,RUT,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISREGARDING YIELD SIGN,2,FATAL,18,3,0,21,11,34,11,2,4
TRAFFIC SIGNAL,RAIN,DAYLIGHT,FIXED OBJECT,T-INTERSECTION,LEVEL,ICE,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",EQUIPMENT - VEHICLE CONDITION,8,FATAL,10,3,7,15,10,25,9,1,10
DELINEATORS,SNOW,DAWN,TRAIN,T-INTERSECTION,STRAIGHT ON HILLCREST,UNKNOWN,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"OVER $1,500",BICYCLE ADVANCING LEGALLY ON RED LIGHT,1,NONINCAPACITATING INJURY,8,0,3,3,14,23,5,2,10
UNKNOWN,DIRT,DARKNESS,SIDESWIPE SAME DIRECTION,T-INTERSECTION,CURVE ON HILLCREST,SNOW OR SLUSH,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,ANIMAL,1,INCAPACITATING INJURY,18,2,6,4,0,42,19,7,5
OTHER RAILROAD CROSSING,SNOW,DAWN,ANIMAL,ROUN,LEVEL,DRY,UNKNOWN,NO INJURY / DRIVE AWAY,N,"$501 - $1,500","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",3,INCAPACITATING INJURY,4,0,1,0,12,34,18,6,12
DELINEATORS,SNOW,DAWN,ANGLE,T-INTERSECTION,CURVE ON GRADE,UNKNOWN,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"OVER $1,500",WEATHER,10,NO INDICATION OF INJURY,1,2,4,14,7,40,8,3,11
SCHOOL ZONE,UNKNOWN,DUSK,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",RELATED TO BUS STOP,8,FATAL,10,2,2,17,1,39,21,6,10
DELINEATORS,BLOWING SAND,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),CURVE,ICE,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",4,"REPORTED, NOT EVIDENT",5,3,4,17,8,45,11,7,10
YIELD,OTHER,DUSK,TRAIN,T-INTERSECTION,CURVE,UNKNOWN,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",IMPROPER LANE USAGE,10,FATAL,11,2,7,12,4,25,10,6,4
NO CONTROLS,FOG/SMOKE/HAZE,LIGHTED ROAD,OTHER OBJECT,UNKNOWN,STRAIGHT ON GRADE,SAND,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",EQUIPMENT - VEHICLE CONDITION,1,FATAL,18,3,2,0,8,19,8,1,6
STOP SIGN/FLASHER,DIRT,DAYLIGHT,SIDESWIPE SAME DIRECTION,DRIVEWAY,CURVE,MUD,OTHER,NO INJURY / DRIVE AWAY,N,$500 OR LESS,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),11,FATAL,8,0,5,18,15,2,8,6,5
DELINEATORS,CLOUDY/OVERCAST,DAYLIGHT,HEAD ON,DRIVEWAY,CURVE,DIRT,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",OBSTRUCTED CROSSWALKS,1,NONINCAPACITATING INJURY,9,0,6,11,11,37,14,6,8
RAILROAD CROSSING GATE,BLOWING SAND,DAWN,REAR TO FRONT,NOT DIVIDED,CURVE ON HILLCREST,MUD,RUT,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,7,FATAL,10,2,0,3,0,26,11,2,12
OTHER REG. SIGN,BLOWING SAND,DAWN,PEDALCYCLIST,ROUN,CURVE ON HILLCREST,MUD,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",DISREGARDING ROAD MARKINGS,2,FATAL,17,3,6,18,12,2,21,1,5
RR CROSSING SIGN,FOG/SMOKE/HAZE,UNKNOWN,ANGLE,FOUR WAY,STRAIGHT ON HILLCREST,SAND,OTHER,NO INJURY / DRIVE AWAY,N,"OVER $1,500",OBSTRUCTED CROSSWALKS,4,FATAL,11,3,6,20,12,13,21,5,11
LANE USE MARKING,BLOWING SNOW,DAYLIGHT,OTHER NONCOLLISION,RAMP,CURVE ON HILLCREST,DIRT,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2,INCAPACITATING INJURY,2,3,3,8,8,13,19,1,4
SCHOOL ZONE,FREEZING RAIN/DRIZZLE,UNKNOWN,SIDESWIPE SAME DIRECTION,PARKING LOT,CURVE ON HILLCREST,WET,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,EQUIPMENT - VEHICLE CONDITION,6,INCAPACITATING INJURY,3,2,6,21,8,26,2,6,8
TRAFFIC SIGNAL,OTHER,DAYLIGHT,OVERTURNED,ROUN,STRAIGHT ON HILLCREST,DIRT,RUT,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,OBSTRUCTED CROSSWALKS,7,NONINCAPACITATING INJURY,5,2,2,18,9,30,9,6,5
BICYCLE CROSSING SIGN,BLOWING SNOW,DAWN,FIXED OBJECT,TRAFFIC ROUTE,CURVE ON GRADE,OTHER,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,DRIVING ON WRONG SIDE/WRONG WAY,4,"REPORTED, NOT EVIDENT",9,1,7,18,5,39,7,5,4
UNKNOWN,DIRT,DARKNESS,OTHER NONCOLLISION,L-INTERSECTION,CURVE ON HILLCREST,ICE,HOLES,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),9,NONINCAPACITATING INJURY,14,1,4,2,7,43,9,2,5
UNKNOWN,SEVERE CROSS WIND GATE,DUSK,REAR TO FRONT,L-INTERSECTION,LEVEL,SAND,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",ROAD CONSTRUCTION/MAINTENANCE,8,NO INDICATION OF INJURY,3,0,4,4,5,3,23,6,9
NO PASSING,SNOW,LIGHTED ROAD,TURNING,Y-INTERSECTION,CURVE ON HILLCREST,MUD,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"$501 - $1,500","DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",9,NONINCAPACITATING INJURY,8,1,3,20,13,16,15,1,4
FLASHING CONTROL SIGNAL,UNKNOWN,LIGHTED ROAD,ANIMAL,"FIVE POINT, OR MORE",CURVE,OTHER,OTHER,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",DISTRACTION - FROM OUTSIDE VEHICLE,8,NO INDICATION OF INJURY,16,3,0,14,8,13,1,2,12
TRAFFIC SIGNAL,CLOUDY/OVERCAST,LIGHTED ROAD,TRAIN,CENTER TURN LANE,STRAIGHT ON HILLCREST,WET,UNKNOWN,NO INJURY / DRIVE AWAY,N,"OVER $1,500",BICYCLE ADVANCING LEGALLY ON RED LIGHT,8,INCAPACITATING INJURY,15,3,5,0,13,7,8,7,7
OTHER REG. SIGN,OTHER,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON GRADE,MUD,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",8,INCAPACITATING INJURY,16,1,6,17,4,46,4,3,4
UNKNOWN,UNKNOWN,DAYLIGHT,TURNING,PARKING LOT,CURVE ON GRADE,DIRT,OTHER,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",PASSING STOPPED SCHOOL BUS,6,INCAPACITATING INJURY,9,2,1,8,12,18,20,7,12
RAILROAD CROSSING GATE,CLEAR,LIGHTED ROAD,HEAD ON,UNKNOWN INTERSECTION TYPE,CURVE,SNOW OR SLUSH,HOLES,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,DISREGARDING STOP SIGN,8,INCAPACITATING INJURY,8,0,5,9,7,36,9,3,10
OTHER RAILROAD CROSSING,CLEAR,DARKNESS,PEDESTRIAN,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DIRT,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,IMPROPER LANE USAGE,6,NONINCAPACITATING INJURY,10,1,1,1,13,30,20,2,11
PEDESTRIAN CROSSING SIGN,UNKNOWN,LIGHTED ROAD,ANIMAL,DIVIDED - W/MEDIAN BARRIER,LEVEL,UNKNOWN,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,ROAD CONSTRUCTION/MAINTENANCE,9,INCAPACITATING INJURY,6,0,1,19,11,8,7,3,1
RAILROAD CROSSING GATE,SNOW,LIGHTED ROAD,OVERTURNED,DIVIDED - W/MEDIAN BARRIER,CURVE,MUD,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",EXCEEDING SAFE SPEED FOR CONDITIONS,4,INCAPACITATING INJURY,3,1,2,18,5,0,6,1,9
POLICE/FLAGMAN,SNOW,UNKNOWN,TURNING,RAMP,CURVE ON HILLCREST,MUD,RUT,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",RELATED TO BUS STOP,4,"REPORTED, NOT EVIDENT",0,2,4,18,5,26,9,2,3
RAILROAD CROSSING GATE,BLOWING SAND,DUSK,FIXED OBJECT,NOT DIVIDED,CURVE,DRY,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",DISREGARDING ROAD MARKINGS,11,NONINCAPACITATING INJURY,17,1,2,5,6,27,16,5,10
OTHER REG. SIGN,DIRT,DUSK,REAR END,ALLEY,STRAIGHT ON HILLCREST,UNKNOWN,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",DISTRACTION - FROM OUTSIDE VEHICLE,6,NONINCAPACITATING INJURY,5,0,4,19,3,31,5,6,3
LANE USE MARKING,BLOWING SNOW,LIGHTED ROAD,SIDESWIPE SAME DIRECTION,CENTER TURN LANE,STRAIGHT ON HILLCREST,MUD,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",WEATHER,4,NO INDICATION OF INJURY,8,2,0,12,11,11,0,2,1
OTHER,BLOWING SAND,DUSK,HEAD ON,L-INTERSECTION,STRAIGHT AND LEVEL,SAND,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",9,INCAPACITATING INJURY,18,3,4,2,0,29,3,5,12
NO CONTROLS,SLEET/HAIL,LIGHTED ROAD,REAR TO SIDE,PARKING LOT,STRAIGHT ON HILLCREST,OTHER,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),11,NONINCAPACITATING INJURY,9,2,7,3,14,20,20,1,10
DELINEATORS,CLEAR,DAWN,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),LEVEL,UNKNOWN,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2,FATAL,8,0,0,2,9,39,8,4,1
FLASHING CONTROL SIGNAL,CLOUDY/OVERCAST,DUSK,ANIMAL,NOT DIVIDED,CURVE,DIRT,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",IMPROPER BACKING,3,FATAL,14,0,0,13,7,15,0,3,12
TRAFFIC SIGNAL,OTHER,DAWN,ANIMAL,ONE-WAY,CURVE ON GRADE,WET,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",DISREGARDING ROAD MARKINGS,2,FATAL,1,2,4,9,10,6,6,3,11
NO CONTROLS,OTHER,DUSK,REAR TO REAR,"FIVE POINT, OR MORE",CURVE ON HILLCREST,UNKNOWN,UNKNOWN,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,DISTRACTION - FROM INSIDE VEHICLE,3,NO INDICATION OF INJURY,12,0,6,17,3,42,4,3,3
OTHER RAILROAD CROSSING,OTHER,LIGHTED ROAD,SIDESWIPE SAME DIRECTION,ROUN,STRAIGHT ON HILLCREST,SNOW OR SLUSH,HOLES,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,ROAD CONSTRUCTION/MAINTENANCE,2,NONINCAPACITATING INJURY,9,2,3,15,11,7,0,4,12
TRAFFIC SIGNAL,BLOWING SNOW,LIGHTED ROAD,OVERTURNED,OTHER,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",DISTRACTION - FROM INSIDE VEHICLE,11,"REPORTED, NOT EVIDENT",19,3,6,3,1,16,0,2,1
PEDESTRIAN CROSSING SIGN,BLOWING SNOW,LIGHTED ROAD,PARKED MOTOR VEHICLE,UNKNOWN INTERSECTION TYPE,STRAIGHT ON GRADE,SAND,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",1,NO INDICATION OF INJURY,11,2,5,9,8,48,1,6,12
NO PASSING,DIRT,LIGHTED ROAD,HEAD ON,ALLEY,CURVE ON HILLCREST,WET,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",DISREGARDING ROAD MARKINGS,5,NONINCAPACITATING INJURY,4,2,4,17,7,43,17,4,3
STOP SIGN/FLASHER,CLEAR,DAWN,SIDESWIPE OPPOSITE DIRECTION,FOUR WAY,CURVE ON GRADE,DIRT,HOLES,NO INJURY / DRIVE AWAY,N,$500 OR LESS,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),1,"REPORTED, NOT EVIDENT",8,2,2,19,10,44,5,7,4
TRAFFIC SIGNAL,SLEET/HAIL,DUSK,OTHER NONCOLLISION,ROUN,CURVE,OTHER,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",TURNING RIGHT ON RED,8,INCAPACITATING INJURY,8,3,5,1,8,34,11,4,11
OTHER REG. SIGN,SOIL,DAYLIGHT,REAR TO SIDE,ROUN,STRAIGHT ON HILLCREST,DIRT,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",PASSING STOPPED SCHOOL BUS,7,"REPORTED, NOT EVIDENT",6,2,0,7,3,41,20,5,12
BICYCLE CROSSING SIGN,SOIL,DARKNESS,PEDALCYCLIST,UNKNOWN INTERSECTION TYPE,CURVE ON HILLCREST,DIRT,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,ROAD CONSTRUCTION/MAINTENANCE,10,FATAL,16,3,2,14,12,12,3,7,7
OTHER RAILROAD CROSSING,DIRT,DARKNESS,REAR TO FRONT,RAMP,CURVE ON HILLCREST,SAND,RUT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,FOLLOWING TOO CLOSELY,6,"REPORTED, NOT EVIDENT",1,3,7,1,8,4,5,7,11
DELINEATORS,CLOUDY/OVERCAST,UNKNOWN,REAR TO FRONT,TRAFFIC ROUTE,STRAIGHT ON HILLCREST,OTHER,RUT,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DISREGARDING ROAD MARKINGS,5,NO INDICATION OF INJURY,5,0,4,4,0,26,2,6,11
UNKNOWN,FOG/SMOKE/HAZE,DARKNESS,REAR TO FRONT,L-INTERSECTION,STRAIGHT AND LEVEL,WET,NO DEFECTS,NO INJURY / DRIVE AWAY,N,"OVER $1,500",ROAD CONSTRUCTION/MAINTENANCE,7,"REPORTED, NOT EVIDENT",6,3,7,1,0,42,21,7,12
NO PASSING,FOG/SMOKE/HAZE,DUSK,PEDESTRIAN,FOUR WAY,CURVE ON GRADE,MUD,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,RELATED TO BUS STOP,2,"REPORTED, NOT EVIDENT",18,2,1,4,3,41,11,7,12
RAILROAD CROSSING GATE,OTHER,LIGHTED ROAD,REAR TO FRONT,ONE-WAY,LEVEL,SNOW OR SLUSH,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",PHYSICAL CONDITION OF DRIVER,10,NO INDICATION OF INJURY,12,3,2,18,14,21,12,1,8
OTHER,BLOWING SNOW,DARKNESS,HEAD ON,T-INTERSECTION,STRAIGHT ON GRADE,UNKNOWN,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,6,NONINCAPACITATING INJURY,15,3,0,6,11,44,15,1,10
POLICE/FLAGMAN,UNKNOWN,DUSK,TRAIN,OTHER,STRAIGHT AND LEVEL,ICE,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"OVER $1,500",TURNING RIGHT ON RED,7,FATAL,13,3,5,18,2,20,3,7,5
OTHER RAILROAD CROSSING,FREEZING RAIN/DRIZZLE,UNKNOWN,HEAD ON,DIVIDED - W/MEDIAN (NOT RAISED),CURVE,WET,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",FOLLOWING TOO CLOSELY,4,FATAL,17,0,4,6,14,25,23,5,8
STOP SIGN/FLASHER,SEVERE CROSS WIND GATE,LIGHTED ROAD,FIXED OBJECT,T-INTERSECTION,STRAIGHT AND LEVEL,DIRT,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,DISREGARDING OTHER TRAFFIC SIGNS,6,"REPORTED, NOT EVIDENT",5,2,7,9,11,20,8,1,9
OTHER REG. SIGN,BLOWING SNOW,UNKNOWN,SIDESWIPE SAME DIRECTION,ALLEY,CURVE ON GRADE,SAND,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,IMPROPER LANE USAGE,9,"REPORTED, NOT EVIDENT",8,3,3,18,14,22,21,4,1
YIELD,SLEET/HAIL,DAWN,ANGLE,CENTER TURN LANE,LEVEL,ICE,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,IMPROPER OVERTAKING/PASSING,11,NONINCAPACITATING INJURY,16,1,3,17,15,42,14,5,5
RAILROAD CROSSING GATE,CLOUDY/OVERCAST,UNKNOWN,ANGLE,OTHER,STRAIGHT ON GRADE,ICE,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,ROAD CONSTRUCTION/MAINTENANCE,8,"REPORTED, NOT EVIDENT",15,0,6,20,0,26,6,2,1
SCHOOL ZONE,DIRT,UNKNOWN,OTHER NONCOLLISION,Y-INTERSECTION,CURVE ON HILLCREST,UNKNOWN,WORN SURFACE,NO INJURY / DRIVE AWAY,N,$500 OR LESS,BICYCLE ADVANCING LEGALLY ON RED LIGHT,10,FATAL,2,2,3,8,1,35,8,2,10
DELINEATORS,BLOWING SNOW,LIGHTED ROAD,FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON HILLCREST,ICE,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",UNABLE TO DETERMINE,8,NONINCAPACITATING INJURY,9,3,7,21,5,30,15,3,1
STOP SIGN/FLASHER,FREEZING RAIN/DRIZZLE,DAWN,OTHER NONCOLLISION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,DRY,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,DISTRACTION - FROM INSIDE VEHICLE,8,"REPORTED, NOT EVIDENT",9,1,0,2,1,31,12,6,10
POLICE/FLAGMAN,SNOW,UNKNOWN,SIDESWIPE OPPOSITE DIRECTION,Y-INTERSECTION,CURVE ON GRADE,DRY,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",10,"REPORTED, NOT EVIDENT",13,0,3,11,13,40,12,1,11
RAILROAD CROSSING GATE,DIRT,LIGHTED ROAD,PEDESTRIAN,ONE-WAY,CURVE ON GRADE,SNOW OR SLUSH,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",PASSING STOPPED SCHOOL BUS,4,FATAL,13,0,4,1,6,12,3,7,10
NO PASSING,SNOW,DAYLIGHT,REAR TO SIDE,DRIVEWAY,CURVE,SAND,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,10,NO INDICATION OF INJURY,11,3,1,21,10,1,12,1,11
UNKNOWN,SEVERE CROSS WIND GATE,DAWN,ANGLE,CENTER TURN LANE,STRAIGHT ON GRADE,WET,RUT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,IMPROPER OVERTAKING/PASSING,7,"REPORTED, NOT EVIDENT",5,1,6,14,5,12,7,1,3
